TIPO,REF,Etapa,ACCT,BUDGET
Above the Line,Detalle,SHOOT,1320-003,75000
Above the Line,Sub cuenta,,1387,205200
Above the Line,Detalle,,1387-002,0
Above the Line,Detalle,PREP,1387-003,21600
Above the Line,Detalle,SHOOT,1387-004,151200
Above the Line,Detalle,WRAP,1387-005,0
Above the Line,Detalle,,1387-008,0
Above the Line,Detalle,2nd Unit,1387-009,10800
Above the Line,Detalle,2nd Unit,1387-010,21600
Above the Line,Sub cuenta,,1399,132743.88
Above the Line,Detalle,Fringes,1399-001,132743.88
Above the Line,Cuenta General,,1400,11960556.03
Above the Line,Sub cuenta,,1401,7612289
Above the Line,Detalle,SHOOT,1401-002,1848000
Above the Line,Detalle,SHOOT,1401-003,127998
Above the Line,Detalle,SHOOT,1401-004,0
Above the Line,Detalle,SHOOT,1401-005,0
Above the Line,Detalle,SHOOT,1401-006,22974
Above the Line,Detalle,SHOOT,1401-007,39384
Above the Line,Detalle,SHOOT,1401-008,14700
Above the Line,Detalle,SHOOT,1401-011,1000000
Above the Line,Detalle,SHOOT,1401-012,118152
Above the Line,Detalle,SHOOT,1401-013,0
Above the Line,Detalle,SHOOT,1401-014,0
Above the Line,Detalle,SHOOT,1401-015,22974
Above the Line,Detalle,SHOOT,1401-016,36102
Above the Line,Detalle,SHOOT,1401-017,14700
Above the Line,Detalle,SHOOT,1401-020,210000
Above the Line,Detalle,SHOOT,1401-021,96852
Above the Line,Detalle,SHOOT,1401-022,0
Above the Line,Detalle,SHOOT,1401-023,0
Above the Line,Detalle,SHOOT,1401-024,32284
Above the Line,Detalle,SHOOT,1401-025,32284
Above the Line,Detalle,SHOOT,1401-026,14700
Above the Line,Detalle,SHOOT,1401-029,252000
Above the Line,Detalle,SHOOT,1401-030,98460
Above the Line,Detalle,SHOOT,1401-031,22974
Above the Line,Detalle,SHOOT,1401-032,49230
Above the Line,Detalle,SHOOT,1401-033,14700
Above the Line,Detalle,SHOOT,1401-036,252000
Above the Line,Detalle,SHOOT,1401-037,88614
Above the Line,Detalle,SHOOT,1401-038,22974
Above the Line,Detalle,SHOOT,1401-039,42666
Above the Line,Detalle,SHOOT,1401-040,14700
Above the Line,Detalle,SHOOT,1401-043,228375
Above the Line,Detalle,SHOOT,1401-044,13128
Above the Line,Detalle,SHOOT,1401-045,3282
Above the Line,Detalle,SHOOT,1401-046,3282
Above the Line,Detalle,SHOOT,1401-047,1500
Above the Line,Detalle,SHOOT,1401-050,441000
Above the Line,Detalle,SHOOT,1401-051,26256
Above the Line,Detalle,SHOOT,1401-052,3282
Above the Line,Detalle,SHOOT,1401-053,0
Above the Line,Detalle,SHOOT,1401-054,3900
Above the Line,Detalle,SHOOT,1401-057,199500
Above the Line,Detalle,SHOOT,1401-058,36102
Above the Line,Detalle,SHOOT,1401-059,6564
Above the Line,Detalle,SHOOT,1401-060,0
Above the Line,Detalle,SHOOT,1401-061,3900
Above the Line,Detalle,SHOOT,1401-064,483000
Above the Line,Detalle,SHOOT,1401-065,26256
Above the Line,Detalle,SHOOT,1401-066,13128
Above the Line,Detalle,SHOOT,1401-067,0
Above the Line,Detalle,SHOOT,1401-068,3600
Above the Line,Detalle,SHOOT,1401-071,960000
Above the Line,Detalle,SHOOT,1401-072,124524
Above the Line,Detalle,SHOOT,1401-075,416000
Above the Line,Detalle,SHOOT,1401-076,68922
Above the Line,Detalle,SHOOT,1401-077,22974
Above the Line,Detalle,SHOOT,1401-078,19692
Above the Line,Detalle,SHOOT,1401-079,14700
Above the Line,Sub cuenta,,1403,1240398
Above the Line,Detalle,SHOOT,1403-002,236250
Above the Line,Detalle,SHOOT,1403-003,22974
Above the Line,Detalle,SHOOT,1403-004,0
Above the Line,Detalle,SHOOT,1403-005,0
Above the Line,Detalle,SHOOT,1403-006,0
Above the Line,Detalle,SHOOT,1403-009,94500
Above the Line,Detalle,SHOOT,1403-010,16410
Above the Line,Detalle,SHOOT,1403-011,0
Above the Line,Detalle,SHOOT,1403-012,0
Above the Line,Detalle,SHOOT,1403-013,2100
Above the Line,Detalle,SHOOT,1403-016,61678.32
Above the Line,Detalle,SHOOT,1403-017,16410
Above the Line,Detalle,SHOOT,1403-018,0
Above the Line,Detalle,SHOOT,1403-019,0
Above the Line,Detalle,SHOOT,1403-020,0
Above the Line,Detalle,SHOOT,1403-023,94500
Above the Line,Detalle,SHOOT,1403-024,39384
Above the Line,Detalle,SHOOT,1403-025,0
Above the Line,Detalle,SHOOT,1403-026,19692
Above the Line,Detalle,SHOOT,1403-027,0
Above the Line,Detalle,SHOOT,1403-030,105000
Above the Line,Detalle,SHOOT,1403-031,16410
Above the Line,Detalle,SHOOT,1403-032,13128
Above the Line,Detalle,SHOOT,1403-033,0
Above the Line,Detalle,SHOOT,1403-034,2700
Above the Line,Detalle,SHOOT,1403-037,25200
Above the Line,Detalle,SHOOT,1403-038,19692
Above the Line,Detalle,SHOOT,1403-039,0
Above the Line,Detalle,SHOOT,1403-040,0
Above the Line,Detalle,SHOOT,1403-041,0
Above the Line,Detalle,SHOOT,1403-044,16800
Above the Line,Detalle,SHOOT,1403-045,19692
Above the Line,Detalle,SHOOT,1403-046,0
Above the Line,Detalle,SHOOT,1403-047,0
Above the Line,Detalle,SHOOT,1403-048,0
Above the Line,Detalle,SHOOT,1403-051,12600
Above the Line,Detalle,SHOOT,1403-052,22974
Above the Line,Detalle,SHOOT,1403-053,0
Above the Line,Detalle,SHOOT,1403-054,0
Above the Line,Detalle,SHOOT,1403-055,0
Above the Line,Detalle,SHOOT,1403-058,12600
Above the Line,Detalle,SHOOT,1403-059,22974
Above the Line,Detalle,SHOOT,1403-060,0
Above the Line,Detalle,SHOOT,1403-061,0
Above the Line,Detalle,SHOOT,1403-062,0
Above the Line,Detalle,SHOOT,1403-065,69300
Above the Line,Detalle,SHOOT,1403-066,29538
Above the Line,Detalle,SHOOT,1403-067,0
Above the Line,Detalle,SHOOT,1403-068,16410
Above the Line,Detalle,SHOOT,1403-069,0
Above the Line,Detalle,SHOOT,1403-072,20000
Above the Line,Detalle,SHOOT,1403-073,19692
Above the Line,Detalle,SHOOT,1403-074,19692
Above the Line,Detalle,SHOOT,1403-075,0
Above the Line,Detalle,SHOOT,1403-076,0
Above the Line,Detalle,SHOOT,1403-079,38850
Above the Line,Detalle,SHOOT,1403-080,9846
Above the Line,Detalle,SHOOT,1403-081,0
Above the Line,Detalle,SHOOT,1403-082,0
Above the Line,Detalle,SHOOT,1403-083,0
Above the Line,Detalle,SHOOT,1403-086,84000
Above the Line,Detalle,SHOOT,1403-087,16410
Above the Line,Detalle,SHOOT,1403-088,19692
Above the Line,Detalle,SHOOT,1403-089,0
Above the Line,Detalle,SHOOT,1403-090,3300
Above the Line,Sub cuenta,,1404,255106
Above the Line,Detalle,,1404-002,0
Above the Line,Detalle,,1404-004,0
Above the Line,Detalle,ALL SHOW,1404-005,100000
Above the Line,Detalle,ALL SHOW,1404-006,65640
Above the Line,Detalle,,1404-009,0
Above the Line,Detalle,SHOOT,1404-010,46800
Above the Line,Detalle,SHOOT,1404-011,42666
Above the Line,Sub cuenta,,1406,196425
Above the Line,Detalle,,1406-002,0
Above the Line,Detalle,PREP,1406-003,9000
Above the Line,Detalle,SHOOT,1406-004,9150
Above the Line,Detalle,SHOOT,1406-005,64050
Above the Line,Detalle,SHOOT,1406-006,64050
Above the Line,Detalle,,1406-009,0
Above the Line,Detalle,2nd Unit,1406-010,9000
Above the Line,Detalle,2nd Unit,1406-011,4575
Above the Line,Detalle,2nd Unit,1406-012,18300
Above the Line,Detalle,2nd Unit,1406-013,18300
Above the Line,Sub cuenta,,1410,528052
Above the Line,Detalle,,1410-002,0
Above the Line,Detalle,,1410-003,0
Above the Line,Detalle,PREP,1410-004,132000
Above the Line,Detalle,PREP,1410-005,60000
Above the Line,Detalle,SHOOT,1410-006,11844
Above the Line,Detalle,SHOOT,1410-007,13128
Above the Line,Detalle,SHOOT,1410-008,71688
Above the Line,Detalle,SHOOT,1410-009,26256
Above the Line,Detalle,SHOOT,1410-010,6564
Above the Line,Detalle,SHOOT,1410-011,29538
Above the Line,Detalle,SHOOT,1410-012,2400
Above the Line,Detalle,,1410-015,0
Above the Line,Detalle,,1410-016,0
Above the Line,Detalle,PREP,1410-017,49000
Above the Line,Detalle,PREP,1410-018,35000
Above the Line,Detalle,SHOOT,1410-019,1844
Above the Line,Detalle,SHOOT,1410-020,12156
Above the Line,Detalle,SHOOT,1410-021,31688
Above the Line,Detalle,SHOOT,1410-022,24312
Above the Line,Detalle,SHOOT,1410-023,6078
Above the Line,Detalle,SHOOT,1410-024,12156
Above the Line,Detalle,SHOOT,1410-025,2400
Above the Line,Sub cuenta,,1411,330002
Above the Line,Detalle,,1411-002,0
Above the Line,Detalle,,1411-004,0
Above the Line,Detalle,,1411-005,0
Above the Line,Detalle,PREP,1411-006,6000
Above the Line,Detalle,SHOOT,1411-007,18000
Above the Line,Detalle,SHOOT,1411-008,9846
Above the Line,Detalle,,1411-011,0
Above the Line,Detalle,,1411-012,0
Above the Line,Detalle,PREP,1411-013,6000
Above the Line,Detalle,SHOOT,1411-014,6000
Above the Line,Detalle,SHOOT,1411-015,3282
Above the Line,Detalle,,1411-018,0
Above the Line,Detalle,,1411-019,0
Above the Line,Detalle,PREP,1411-020,28000
Above the Line,Detalle,SHOOT,1411-021,1844
Above the Line,Detalle,SHOOT,1411-022,12156
Above the Line,Detalle,SHOOT,1411-023,10000
Above the Line,Detalle,SHOOT,1411-024,10000
Above the Line,Detalle,SHOOT,1411-025,7922
Above the Line,Detalle,SHOOT,1411-026,6564
Above the Line,Detalle,SHOOT,1411-027,0
Above the Line,Detalle,SHOOT,1411-028,1800
Above the Line,Detalle,,1411-031,0
Above the Line,Detalle,,1411-032,0
Above the Line,Detalle,PREP,1411-033,14000
Above the Line,Detalle,SHOOT,1411-034,1844
Above the Line,Detalle,SHOOT,1411-035,13128
Above the Line,Detalle,SHOOT,1411-036,0
Above the Line,Detalle,SHOOT,1411-037,0
Above the Line,Detalle,SHOOT,1411-038,7922
Above the Line,Detalle,SHOOT,1411-039,6564
Above the Line,Detalle,SHOOT,1411-040,0
Above the Line,Detalle,SHOOT,1411-041,1200
Above the Line,Detalle,,1411-044,0
Above the Line,Detalle,,1411-045,0
Above the Line,Detalle,PREP,1411-046,6000
Above the Line,Detalle,SHOOT,1411-047,36000
Above the Line,Detalle,SHOOT,1411-048,19692
Above the Line,Detalle,,1411-051,0
Above the Line,Detalle,,1411-052,0
Above the Line,Detalle,PREP,1411-053,7000
Above the Line,Detalle,SHOOT,1411-054,1844
Above the Line,Detalle,SHOOT,1411-055,12156
Above the Line,Detalle,SHOOT,1411-056,0
Above the Line,Detalle,SHOOT,1411-057,0
Above the Line,Detalle,SHOOT,1411-058,7922
Above the Line,Detalle,SHOOT,1411-059,6078
Above the Line,Detalle,SHOOT,1411-060,6078
Above the Line,Detalle,SHOOT,1411-061,900
Above the Line,Detalle,,1411-064,0
Above the Line,Detalle,,1411-065,0
Above the Line,Detalle,PREP,1411-066,7000
Above the Line,Detalle,SHOOT,1411-067,1844
Above the Line,Detalle,SHOOT,1411-068,12156
