SUBTOTAL,PARTIDA PRESUPUESTAL
27061.83,3410-005
21912.41,3410-018
218905.02,3410-019
3300.0,2794-003
240.0,1287-005
563.0,1287-005
4333.3,1287-005
4999.98,1287-005
650.0,1287-005
360.0,1287-005
22500.0,1287-005
2925.0,1287-005
1200.01,1287-005
97546.2,3683-006
97546.2,3683-012
146319.3,3683-018
71533.88,3683-024
70233.27,3683-030
35116.63,3683-138
70233.27,3683-042
71533.88,3683-048
71533.88,3683-054
48773.1,3683-060
48773.1,3683-066
48773.1,3683-072
48773.1,3683-078
71533.88,3683-084
48773.1,3683-090
71533.88,3683-096
73159.65,3683-101
91043.12,3683-105
182086.25,3683-109
91043.12,3683-158
91043.12,3683-158
29612.24,3683-171
16257.7,3683-154
217000.0,3632-003
28038.02,3442-025
942.08,3442-025
942.08,3442-025
1884.16,3442-025
46027.22,3442-025
6229.25,3442-029
18168.64,3442-025
2768.55,3442-029
1602.17,3442-025
53.83,3442-025
53.83,3442-025
107.67,3442-025
2630.13,3442-025
355.96,3442-029
1038.21,3442-025
158.2,3442-029
11798.19,3632-003
1236.0,3632-003
76753.34,1287-006
355.0,3442-024
350.23,3936-003
350.23,3936-004
181.15,3936-008
181.15,3936-009
51.97,3936-003
51.97,3936-004
34.65,3936-003
34.65,3936-003
1986.69,3442-025
66.75,3442-025
66.75,3442-025
133.51,3442-025
3261.36,3442-025
441.39,3442-029
1287.38,3442-025
196.17,3442-029
12095.51,3632-003
4757.14,3683-006
4757.14,3683-012
7135.7,3683-018
3488.57,3683-024
3425.14,3683-030
1712.57,3683-138
3425.14,3683-042
3488.57,3683-048
3488.57,3683-054
2378.57,3683-060
2378.57,3683-066
2378.57,3683-072
2378.57,3683-078
3488.57,3683-084
2378.57,3683-090
3488.57,3683-096
3567.85,3683-101
4439.99,3683-105
8879.99,3683-109
4439.99,3683-158
4439.99,3683-158
1444.13,3683-171
792.86,3683-154
90306.76,3683-202
10251.83,3936-003
10251.83,3936-004
5302.67,3936-008
5302.67,3936-009
