SUBTOTAL,PARTIDA PRESUPUESTAL
236.21,2285-003
1412.12,2494-035
1412.12,2494-035
34.22,2285-003
3188.79,2494-015
217.24,2494-027
630.41,2494-027
495.0,2285-003
948.28,2285-003
181.04,2485-003
86.22,2485-003
850.0,2494-031
1237.82,2494-035
1500.0,2494-031
255.09,2485-003
9000.0,2494-031
325.0,2494-035
30.74,2285-003
542.07,2808-003
1518.87,2808-003
2142.6,2808-003
2327.6,2808-003
407.47,2808-003
1496.38,2808-003
132.76,2808-003
2618.12,2808-003
8004.32,2808-003
4250.0,2808-003
995.69,2385-003
450.0,2494-035
1860.0,2494-035
60.34,2494-035
7096.52,2594-003
719.45,2594-003
145.69,2594-003
540.78,2594-003
1405.58,2585-003
1002.59,2585-003
285.19,2585-003
212.1,2594-003
864.65,2594-003
813.88,2594-003
1603.49,2508-007
1603.49,2508-007
1068.99,2508-007
931.03,2594-003
1110.0,2594-003
1224.14,2594-003
1577.61,2594-003
223.28,2594-003
284.4,2594-003
296.25,2594-003
115.0,2585-003
1188.0,2594-003
486.0,2594-003
90.0,2594-003
157.0,2594-003
11.0,2585-003
5.0,2585-003
5.0,2585-003
1700.0,2594-003
35.0,2585-003
35.0,2585-003
45.0,2585-003
2563.92,2594-003
581.25,2594-003
257.76,2594-003
827.02,2594-003
150.86,2594-003
100.0,2594-003
163.73,2585-003
462.93,2594-003
2169.93,2594-003
775.0,2494-011
12.93,2285-003
976.29,2594-003
152.59,2594-003
1599.47,2594-003
560.34,2594-003
1025.12,2594-003
515.52,2594-003
285.34,2594-003
300.86,2594-003
601.72,2594-003
459.48,2585-003
2046.31,2594-003
818.1,2594-003
550.0,2494-035
414.65,2494-035
860.34,2494-003
228.45,2311-003
400.86,2494-035
620.62,2494-035
1910.36,2311-003
63.79,2494-019
81.03,2494-035
134.48,2494-003
162.84,2494-035
55.17,2494-019
1980.21,2494-035
205.17,2494-035
2757.76,2494-035
1098.27,2311-003
450.0,2311-003
431.0,2080-003
2241.38,2080-003
3150.0,2080-003
1551.72,3629-006
1724.14,3629-006
172.41,3629-006
2278.5,1641-012
864.53,3629-003
219.83,3629-003
1362.07,3629-003
112.0,3629-003
80.0,3629-003
1073.28,1426-003
93.01,3629-003
360.56,3629-003
137.41,3629-003
65.14,7080-003
708.0,2080-003
2260.36,7080-003
4704.13,2794-003
775.0,2794-003
1205.17,2794-003
1463.79,2794-003
516.38,2794-003
3358.62,2794-003
1850.86,2794-003
6519.84,2794-003
775.0,2794-003
2780.17,2794-003
722.41,2794-003
1843.36,2794-003
473.27,2794-003
602.58,2794-003
1311.78,2794-003
322.41,2794-003
2237.06,2794-003
1318.23,2794-003
4997.42,2794-003
473.28,2794-003
11293.1,2794-003
408.0,2794-003
3632.76,2794-003
-929.31,2794-003
775.0,2794-003
1807.76,2794-003
1858.61,2794-003
-515.52,2794-003
1494.84,2794-003
1610.6,2794-003
1200.0,2794-003
725.0,2794-003
800.0,2794-003
1292.24,2794-003
8257.8,2794-003
3750.0,2794-003
9564.66,2794-003
4570.71,2794-003
559.48,2794-003
920.69,2794-003
1640.87,2794-003
861.21,2794-003
68.1,2794-003
1593.97,2794-003
8257.8,2794-003
918.1,2794-003
516.38,2794-003
409.48,2794-003
409.48,2794-003
211.21,3401-042
4030.17,3401-042
1206.9,3629-006
344.83,3629-006
431.03,3629-006
8072.46,1640-009
131.28,1426-003
2927.69,3901-038
48.62,4180-003
646.55,3629-003
1487.36,3401-042
10.34,3629-003
2802.62,3901-048
2034.48,3904-003
2858.69,3901-038
-365098.31,Petty Cash & Floats
50000.0,Debtor
2910893.45,7003-004
5500.0,2594-003
279660.0,2494-067
18000.0,2394-033
11.13,2494-067
176.97,2494-035
270.22,2494-019
440.17,2594-003
11900.0,2494-067
32950.0,Debtor
45000.0,2602-003
36000.0,2602-004
96000.0,2602-005
67200.0,2602-006
24000.0,2602-007
16000.0,2602-008
12000.0,2602-009
9500.0,2602-010
13200.0,2602-011
83000.0,3583-003
25000.0,3583-004
73300.0,2080-003
500000.0,1201-009
88482.35,3902-026
2654.47,3999-001
35000.0,2495-003
26109.66,7230-001
30000.0,3408-003
12949.14,1641-016
10588.23,1641-016
317.65,1699-001
15159.03,3903-052
5770.0,3110-003
789.46,3683-036
789.46,3683-036
1184.19,3683-036
578.94,3683-036
568.41,3683-036
284.21,3683-036
568.41,3683-036
578.94,3683-036
578.94,3683-036
394.73,3683-036
394.73,3683-036
394.73,3683-036
394.73,3683-036
578.94,3683-036
394.73,3683-036
578.94,3683-036
592.1,3683-036
736.83,3683-036
1473.66,3683-036
736.83,3683-036
736.83,3683-036
239.66,3683-036
131.58,3683-036
350000.0,Petty Cash & Floats
8540.0,7038-009
12790.42,3901-048
1206.03,2794-003
7994.07,2794-003
1318.21,2794-003
839.87,2794-003
15318.11,2794-003
9296.55,2794-003
7918.11,2794-003
688.79,2794-003
4773.45,2794-003
1981.21,2794-003
2400.0,3442-006
3120.0,3442-006
4546.67,3442-006
3120.0,3442-006
4853.0,3442-006
3933.33,3442-006
4546.67,3442-006
4546.67,3442-006
4200.0,3442-006
4240.0,3442-006
720.0,3442-006
1920.0,3442-006
1920.0,3442-006
920.0,3442-006
720.0,3442-006
37800.0,2013-005
67000.0,1202-005
42000.0,1204-005
42000.0,1204-005
20000.0,1222-009
16000.0,2014-004
37800.0,2020-004
25000.0,2017-004
18000.0,2020-009
18000.0,2020-010
21000.0,1222-004
16000.0,2045-004
14000.0,2020-016
12400.0,2019-004
5000.0,3683-128
7000.0,2020-027
14000.0,2020-027
52500.0,2004-005
31500.0,2005-005
52500.0,2003-004
30000.0,2005-010
50000.0,2003-014
30000.0,2005-015
138600.0,1301-003
17000.0,2009-003
34000.0,2009-004
157080.0,1301-011
8500.0,4180-003
42000.0,3402-005
21000.0,3403-011
25200.0,3403-004
8000.0,3403-024
16000.0,3403-025
64680.0,2201-005
25200.0,2213-004
35700.0,2401-004
34000.0,2501-004
25200.0,2203-004
14000.0,2206-016
17850.0,2401-015
19600.0,2501-010
14700.0,2310-003
14700.0,2310-004
15400.0,2206-010
15750.0,2403-010
12600.0,2495-012
7350.0,2401-027
16800.0,2402-004
15750.0,2403-004
5850.0,2403-021
6300.0,2310-009
12600.0,2310-010
6250.0,2495-017
16800.0,2405-009
1715.0,4180-003
10290.0,2405-003
20580.0,2405-004
28000.0,2705-004
20000.0,2703-004
18000.0,2795-012
45000.0,2701-004
15000.0,2707-004
16000.0,2706-004
37500.0,1413-003
40000.0,1413-004
44000.0,5009-005
11000.0,5010-004
22000.0,5010-005
24600.0,2801-010
42000.0,2801-004
9300.0,2805-003
18600.0,2805-004
24000.0,3416-004
84000.0,3101-004
84000.0,3101-004
19706.5,3104-003
43000.0,3104-004
13125.0,3102-009
52500.0,3102-010
7500.0,3145-020
30000.0,3145-021
40000.0,3109-004
11666.52,4180-003
28000.0,3108-004
24000.0,3220-003
6000.0,4180-003
17200.0,4180-003
34500.0,3145-004
11500.0,4180-003
23827.32,4180-003
52000.0,3102-004
13750.0,4180-003
30000.0,3145-026
18000.0,3201-006
2000.0,3201-005
24000.0,3201-005
28634.16,2902-010
28635.6,2902-016
28634.16,2902-004
2386.3,4180-003
28635.6,3002-004
28634.16,3002-016
28635.6,3002-010
17622.38,3001-004
17622.38,3001-004
19550.0,3004-004
1629.16,4180-003
24140.0,3003-004
4023.32,4180-003
3258.33,3003-009
19550.0,3003-010
3450.0,3003-021
20700.0,3003-022
8000.0,3601-003
8000.0,3601-003
8000.0,3601-003
60480.0,1401-029
591360.0,1401-002
16000.0,3220-003
39000.0,3193-106
16200.0,3193-119
63000.0,3193-106
339268.0,2103-004
899999.91,1201-003
100000.0,Petty Cash & Floats
3000.0,7038-009
11000.0,2794-003
819.83,2594-003
3750.0,4180-003
250.0,3401-042
65625.0,3292-003
4000.0,7216-003
50600.0,2030-009
177100.0,2030-010
36000.0,2030-004
129000.0,2794-003
23250.0,2795-003
8266.0,7201-003
147840.0,1401-002
46000.0,2010-012
24000.0,2011-005
20000.0,2011-013
11000.0,7001-005
18000.0,2011-019
49500.0,2011-020
11000.0,2011-021
171300.0,3412-011
171300.0,3412-011
210000.0,3412-015
210000.0,3412-015
8000.0,3412-007
2500.0,3412-007
37500.0,3412-019
37500.0,3412-019
230.0,2494-047
2620.0,2494-035
2040.0,2594-003
10995.4,2394-005
10110.48,2394-005
5130.0,2794-003
5103.14,2794-003
44.78,1487-003
62.71,3629-003
1851.44,3416-015
128.98,4180-003
1210.34,2080-003
10.34,3629-003
10.34,3629-003
10.34,3629-003
10.34,3629-003
65.14,3629-003
98.12,3629-003
63.79,3629-003
31.9,2808-003
77.92,2042-003
50.86,2042-003
434.48,2042-003
50.0,2042-003
3979.31,4180-003
180.04,4180-003
287.0,2042-003
34.22,7080-003
2800.01,7050-005
34.2,7080-003
34.22,7080-003
554.0,2042-003
55.0,3401-011
3458.69,3901-018
300.81,3999-001
3696.57,1630-005
131.18,2042-003
2952.48,1620-003
4155.52,1620-003
10139.03,1640-003
10139.03,1640-003
8511.45,1640-003
9.5,2042-003
14.0,2042-003
14.0,2042-003
81.0,2042-003
22653.82,1641-020
55.59,2042-003
155.17,2042-003
160.34,2042-003
542.41,3401-011
719.0,3401-011
34.22,7038-009
38.0,2042-003
340.0,2042-003
1200.62,2594-003
1119.83,2594-003
1082.76,2594-003
3726.82,2594-003
602.59,2594-003
2016.72,2594-003
3059.49,2594-003
731.9,2594-003
170.0,2594-003
140.0,2594-003
51.72,2585-003
646.55,2594-003
555.0,2594-003
343.97,2594-003
425.0,2594-003
228.45,2594-003
10.0,2585-003
10.0,2585-003
30.0,2585-003
775.0,2594-003
394.82,2594-003
129.31,2594-003
129.31,2594-003
228.45,2594-003
286.21,2594-003
3448.28,2594-003
1240.52,2594-003
3987.7,2594-003
41.31,2585-003
219.79,2585-003
790.0,2594-003
206.91,2585-003
301.2,2594-003
391.68,2594-003
326.72,2594-003
4051.72,2594-003
1257.76,2594-003
90.0,2585-003
1397.59,2494-035
1397.59,2494-035
1100.0,2494-031
6894.84,2494-035
6894.84,2494-003
6032.76,2494-035
2534.44,2494-035
401.72,2485-003
34.8,2285-003
31.32,2285-003
375.0,2494-003
820.69,2494-027
1402.33,2494-027
202.18,2494-019
826.38,2494-019
191.0,2285-003
29.5,2285-003
600.0,2485-003
646.51,2494-019
620.62,2494-019
241.55,2494-071
1013.78,2385-003
620.7,2311-003
28.45,2494-071
571.55,2485-003
284.48,2485-003
870.0,2494-019
910.0,2494-019
250.09,2494-035
874.34,2394-037
680.0,2494-035
639.66,2494-019
45.39,2494-035
603.42,2494-035
19.26,2385-003
651.03,2285-003
170.0,2285-003
75.86,2285-003
60.34,2285-003
172.41,2494-035
1500.0,2494-019
570.0,2494-019
1140.0,2494-067
303.36,2494-019
608.0,2494-035
3901.0,2494-035
32.0,2285-003
588.0,2494-035
30.74,2285-003
30.74,2285-003
3463.72,3901-038
8072.0,3901-033
6966.1,1640-009
3730.64,1640-009
1017.24,3901-051
1867.39,3901-049
5510.81,1630-011
3259.78,3901-033
9812.44,3901-038
913.79,3901-051
1120.69,3901-051
1322.56,1640-009
816.27,1640-009
177.31,1640-009
4474.14,2794-003
2239.65,2794-003
473.28,2794-003
399.96,2794-003
860.34,2794-003
2392.24,2794-003
839.87,2794-003
6716.39,2794-003
775.0,2794-003
2237.07,2794-003
1837.94,2794-003
649.14,2794-003
13444.84,2794-003
3232.76,2794-003
741.2,2794-003
1059.48,2794-003
893.97,2794-003
387.07,2794-003
516.38,2794-003
413.1,2794-003
1808.62,2794-003
4936.21,2794-003
171.55,2794-003
456.03,2794-003
387.07,2794-003
1291.38,2794-003
448.28,2794-003
2125.02,2794-003
1032.94,2794-003
541.38,2794-003
162.93,2794-003
1118.11,2794-003
1463.79,2794-003
387.07,2794-003
941.38,2794-003
990.52,2794-003
1896.55,2794-003
3616.38,2794-003
430.17,2794-003
2107.78,2794-003
541.38,2794-003
3617.24,2794-003
860.34,2794-003
3187.93,2794-003
1202.6,2794-003
1592.24,2794-003
3546.84,2794-003
60.35,2794-003
905.17,2794-003
112.07,3401-003
147.41,3401-003
683.62,3401-003
1514.66,3401-003
379.31,3401-003
594.83,3401-003
218.1,3401-003
312.07,3401-003
274.14,3401-003
14.14,3485-003
725.86,3401-003
40.52,3401-003
157.76,3401-003
162.07,3401-003
583.62,3401-003
195.69,3401-003
76.72,3401-003
567.24,3401-003
183.62,3485-003
288.0,3401-003
288.0,3401-003
25.0,3401-003
20.69,3401-003
75.0,3401-003
25.0,3401-003
75.0,3401-003
148.38,3401-003
29.5,3401-003
15.0,3401-003
72.0,3401-003
35.0,3401-003
147.0,3401-003
168.0,3401-003
75.0,3401-003
270.0,3401-003
92.0,3401-003
170.0,3401-003
46.0,3401-003
76.0,3401-003
34.8,1426-010
341.05,1426-010
34.11,1426-010
858.98,1426-010
68.96,2080-003
378.45,3629-003
88.79,3629-003
95.69,3629-003
324.14,3401-042
90.52,3629-003
1372.41,3629-003
435.27,2042-003
2168.1,3401-042
198.0,3401-042
2889.66,3401-042
378.45,3412-138
667.24,3401-042
2181.9,3401-042
322.23,3401-042
393.1,3401-042
101.55,3401-042
97.58,2080-003
54.0,3629-003
54.0,3629-003
54.0,3629-003
68.0,3629-003
3075.0,2042-003
251.5,2042-003
500.0,2042-003
439.0,3629-003
-431555.25,Petty Cash & Floats
46837721.55,Income (Funding)
7494035.45,Income (Funding) IVA
510.0,7038-008
14000.0,3201-007
16000.0,3201-004
3450.0,3003-015
20700.0,3003-016
8045.98,7230-001
6800.0,4180-003
26000.0,3902-003
2600.0,3902-003
160998.93,3410-003
77279.48,3410-004
244718.37,3410-005
115919.23,3410-006
115919.23,3410-007
29133.14,3410-008
23589.59,3410-013
163652.75,3410-017
32091.59,1642-003
1500.0,3903-052
35184.31,2621-004
30706.31,2623-003
30706.31,2623-004
40941.74,2623-005
36143.87,2623-006
9062.62,2623-007
9595.71,2623-008
3241.22,2623-013
16206.1,2623-018
3411.81,2623-019
14793.1,2621-004
12910.34,2623-003
12910.34,2623-004
17213.79,2623-005
15196.56,2623-006
3810.35,2623-007
4034.49,2623-008
1362.76,2623-013
6813.79,2623-018
1434.48,2623-019
16022.59,2621-004
13983.35,2623-003
13983.35,2623-004
18644.47,2623-005
16459.57,2623-006
4127.03,2623-007
4369.8,2623-008
1476.02,2623-013
7380.11,2623-018
1553.71,2623-019
117152.94,3902-032
3514.59,3999-001
105907.5,2394-009
40000.0,2001-005
5000.0,3683-128
900000.0,1201-006
21000.0,3403-016
3120.0,3442-006
24000.0,2804-004
10500.0,1642-007
9000.0,1642-008
16000.0,3201-004
14000.0,3201-007
9200.0,3201-008
10000.0,4180-003
76000.0,3583-004
12500.0,3193-117
12000.0,2602-015
12000.0,2602-013
14400.0,2602-014
12000.0,2602-015
25200.0,2602-016
23900.0,2602-019
23080.0,3110-003
30000.0,3408-003
135870.59,3902-032
4076.12,3999-001
19175.0,2495-021
71925.0,3193-094
763766.16,3902-008
34453.66,3902-008
184126.8,3903-029
31419.54,3903-040
1140.98,3683-036
1140.98,3683-036
1711.46,3683-036
836.72,3683-036
821.5,3683-036
410.75,3683-036
821.5,3683-036
836.72,3683-036
836.72,3683-036
570.49,3683-036
570.49,3683-036
570.49,3683-036
570.49,3683-036
836.72,3683-036
570.49,3683-036
836.72,3683-036
855.73,3683-036
1064.91,3683-036
2129.82,3683-036
1064.91,3683-036
1064.91,3683-036
346.37,3683-036
190.16,3683-036
351769.0,2103-004
1748.9,2494-003
3500.0,2594-003
24900.0,2494-067
10500.0,2494-031
1035.0,2494-031
240.0,2494-031
7284.0,2494-003
70.0,2594-003
1800.0,2494-003
3700.0,2494-003
5600.0,2498-003
10489.51,2494-039
2851.55,2594-003
90440.0,Debtor
50670.0,2394-005
13440.0,2594-003
1340.79,2494-003
108000.0,1410-004
49960.0,7201-003
22082.04,1401-003
3680.34,1401-006
17230.92,1401-007
22082.04,1401-012
3680.34,1401-015
35350.39,1401-016
18401.699999999997,1401-021
3680.34,1401-024
6564.0,1401-025
18401.699999999997,1401-030
3680.34,1401-031
8205.0,1401-032
18401.699999999997,1401-037
3680.34,1401-038
1230.7799999999997,1401-039
4500.84,1401-052
22082.04,1401-076
3680.34,1401-077
16027.240000000002,1401-078
4500.84,1403-011
1711.01,1406-004
10266.059999999998,1406-005
18548.129999999997,1406-006
14721.36,1410-009
4500.84,1410-010
14536.73,1410-011
14721.36,1410-022
4500.84,1410-023
14536.73,1410-024
14721.36,1411-026
9846.0,1411-027
153097.06,1499-001
284107.6099999999,4180-003
14970.54,1301-004
2495.09,1301-005
27494.64,1301-006
2700.0,1301-007
36500.0,3498-003
4000.0,2602-021
3000.0,3480-011
30000.0,3412-132
9734.27,3498-003
478924.93,Impuestos Pagados (IVA)
253385.22,Impuestos Pagados (ISR)
25000.0,3412-132
335925.72,4180-003
2414076.0,3193-041
2110037.4,3193-045
764239.0,3193-082
253876.0,3193-086
286068.72,3193-090
283265.16,3193-090
87.94,3410-012
307.79,3410-012
125.95,2080-003
1637.93,2080-003
4215.52,2080-003
31.0,3410-012
114.5,3410-012
61.24,2080-003
154.91,2080-003
184.4,2080-003
145.0,2080-003
1756.03,2080-003
283.36,3410-012
1100.86,3410-012
55.0,2080-003
34.22,7038-009
34.22,7038-009
567.0,3410-012
3000.0,Debtor
34.22,7038-009
1000.0,2080-003
34.22,7038-009
1082.33,3901-051
207.59,2080-003
333.62,2080-003
668.97,3901-038
1565.0,3901-038
1574.78,3901-048
3650.87,3401-042
96.98,2080-003
4731.98,7050-005
4731.98,7050-005
162.93,2080-003
10.34,3629-003
10.34,3629-003
10.34,3629-003
10.34,3629-003
10.34,3629-003
10.34,3629-003
10.34,3629-003
10.34,3629-003
10.34,3629-003
10.34,3629-003
10.34,3629-003
10.34,3629-003
27.0,3410-012
70.69,3410-012
244.97,3410-012
76.55,2080-003
1200.0,1487-003
500.0,1487-003
7000.0,Debtor
5400.0,2080-003
1100.0,2080-003
34.22,2080-003
5894.01,7230-002
2409.75,7230-002
3133.15,7230-002
0.0,7230-001
498.97,7230-001
3500.0,7230-001
1246.67,7230-001
43.75,7230-001
344.83,3629-006
1724.14,3629-006
1206.9,3629-006
862.07,3629-006
1034.48,3629-006
1120.69,3629-006
1724.14,3629-006
1120.69,3629-006
1120.69,3629-006
74.14,2080-003
791.38,2080-003
1015.52,2080-003
862.07,3629-006
1120.69,3629-006
1120.69,3629-006
1724.14,3629-006
20.69,3629-003
10.34,3629-003
1293.1,3629-006
2505.32,3901-033
10.34,3629-003
125.0,2080-003
8217.14,1620-003
633.62,1641-003
862.07,3629-006
12.0,3412-138
37.0,2080-003
34.22,7038-009
5.0,3412-138
34.22,7038-009
34.22,7038-009
34.22,7038-009
34.22,7038-009
10.0,3629-003
47.41,3412-138
344.83,3629-006
517.24,3629-006
862.07,3629-006
1724.14,3629-006
1034.48,3629-006
862.07,3629-006
146.55,3442-040
686.21,3442-040
778.76,3632-004
215.22,3442-015
53.45,3442-040
53.45,3442-040
792.12,3632-004
431.03,3629-006
94.83,3412-138
913.79,3901-049
913.79,3901-049
913.79,3901-049
913.79,3901-049
780.01,3410-012
2727.84,1621-003
1288.98,1621-003
1767.0,1426-003
170.0,3629-003
170.0,3629-003
54.0,3629-003
68.0,3629-003
105.0,3629-003
54.0,3629-003
103.0,3629-003
30.74,7038-009
30.74,7038-009
30.74,7038-009
30.74,7038-009
30.74,7038-009
998.1,2794-003
3848.0,2794-003
1799.0,2794-003
2505.8,2794-003
1495.0,2794-003
8546.0,2794-003
1550.0,2794-003
688.79,2794-003
861.21,2794-003
881.39,2794-003
35.0,2794-003
10.0,2794-003
20.0,2794-003
80.0,2794-003
34.22,2794-003
90.0,2794-003
20.0,2794-003
1033.62,2794-003
516.38,2794-003
1427.59,2794-003
28.45,2794-003
4934.0,1640-009
3669.51,1630-015
7625.12,3901-038
560.0,2885-003
1456.04,2808-003
637.07,2808-003
1343.1,2808-003
1120.7,2808-003
4310.34,2808-003
3871.61,2808-003
689.66,2808-003
309.84,2885-003
629.29,2885-003
562.93,2808-003
4800.86,2808-003
1465.52,2808-003
386.43,2594-003
1378.62,2594-003
793.1,2585-003
2214.58,2585-003
775.0,2594-003
160.0,2594-003
157.0,2594-003
100.0,2594-003
34.8,2585-003
34.8,2585-003
34.22,2585-003
34.22,2585-003
20.0,2585-003
60.0,2585-003
64.66,2311-003
137.93,2311-003
401.21,2494-019
45.69,2385-003
143.22,2285-003
1173.0,2394-033
1112.0,2394-033
1112.0,2394-033
491.85,2494-031
288.59,2494-019
723.53,2494-019
47.9,2285-003
2057.76,2494-003
1051.73,2494-003
73.28,2385-003
147.41,2385-003
30.0,2285-003
29.5,2285-003
60.0,2285-003
-243509.7196,Petty Cash & Floats
2910893.45,Income (Funding)
132000.0,Petty Cash & Floats
3220.8,7038-009
19338.46,3193-115
19338.46,3193-115
19338.46,3193-115
414960.0,3412-043
159600.0,Debtor
39000.0,3193-106
16200.0,3193-119
17000.0,3193-105
14200.0,2494-023
32900.0,3193-090
40000.0,3902-003
35000.0,Petty Cash & Floats
854.0,7038-009
60000.0,3412-134
29507.91,2394-061
7696.55,3085-003
2779.0,2594-003
22009.0,2494-003
3873.0,2494-067
2862.0,2494-031
2505.0,2498-003
690.0,2494-003
1600.0,2494-003
420.0,2494-023
2210.0,2494-071
3500.0,2394-025
4000.0,2494-023
37000.0,2494-067
5640.0,2594-003
38760.0,2494-003
10000.0,2494-007
656.24,2494-003
14649.6,2494-023
9000.0,2311-005
15990.0,2494-007
5244.76,2494-039
2625.0,2494-007
22130.0,2494-031
8990.0,2494-035
1500.0,2494-015
60375.0,3292-003
5250.0,3292-007
69300.0,1301-011
29250.0,1302-004
91800.0,3193-111
69600.0,Debtor
25000.0,3412-131
18000.0,2623-007
22000.0,2621-004
22000.0,2623-007
35000.0,2495-003
5000.0,3408-003
23000.0,3583-004
11540.0,3110-003
16000.0,3201-004
14000.0,3201-007
24500.0,3407-005
7050.0,3407-005
1700.0,4180-003
3200.0,3498-003
18500.0,3193-105
16200.0,3193-119
162247.06,3902-032
4867.41,3999-001
331866.0,2103-004
37800.0,2013-005
42000.0,1204-005
42000.0,1204-005
40000.0,2001-005
20000.0,1222-009
16000.0,2014-004
37800.0,2020-004
25000.0,2017-004
36000.0,2014-010
16000.0,2045-004
18000.0,2020-010
12400.0,2019-004
5000.0,3683-128
14000.0,2020-016
8000.0,2020-027
8000.0,2020-027
12400.0,2019-009
12400.0,2019-010
12400.0,2019-010
20000.0,2001-010
20000.0,2001-011
3500.0,2020-031
7000.0,2020-032
52500.0,2004-005
31500.0,2005-005
30000.0,2005-010
30000.0,2005-015
15000.0,2006-004
15000.0,2006-004
184800.0,1301-003
66300.0,1302-004
17000.0,2009-004
17000.0,2009-004
157080.0,1301-011
16800.0,2003-016
138600.0,1301-019
42000.0,3402-005
21000.0,3403-011
21000.0,3403-016
25200.0,3403-004
8500.0,3403-037
8500.0,3403-038
30000.0,3403-020
64680.0,2201-005
43050.0,2202-004
43050.0,2202-004
25200.0,2213-004
31500.0,2206-004
31500.0,2206-004
25200.0,2203-004
14000.0,2206-016
17850.0,2401-015
8500.0,2405-025
19600.0,2501-010
14700.0,2310-004
15400.0,2206-010
15750.0,2403-010
12600.0,2495-012
7350.0,2401-027
7350.0,2401-027
16800.0,2402-004
15750.0,2403-004
12600.0,2310-010
7500.0,3480-011
16800.0,2405-009
20580.0,2405-004
10290.0,2405-025
6250.0,2495-017
1470.0,2405-025
1470.0,2405-025
7875.0,2403-015
15750.0,2403-016
15750.0,2403-016
1470.0,2405-025
2940.0,2405-025
1470.0,2405-025
8500.0,2401-043
8500.0,2401-044
6533.33,2405-025
19600.0,2405-025
2940.0,2405-025
2940.0,2405-025
17850.0,2401-021
17850.0,2401-021
7500.0,2403-026
7500.0,2403-027
28000.0,2705-004
20000.0,2703-004
18000.0,2795-012
15000.0,2707-004
16000.0,2706-004
6000.0,2707-025
3000.0,2707-025
7500.0,2707-019
7500.0,2707-020
6000.0,2707-025
8000.0,2706-009
8000.0,2706-010
40000.0,1413-004
44000.0,5009-005
24600.0,2801-010
24000.0,2804-004
36000.0,2802-003
48000.0,2802-004
18600.0,2805-004
10300.0,2802-010
10300.0,2802-010
9000.0,2802-020
18000.0,2802-021
8000.0,2805-014
8000.0,2805-015
8000.0,2805-009
8000.0,2805-010
8000.0,2802-014
8000.0,2802-015
8000.0,2802-015
24000.0,3416-004
43000.0,3104-004
52500.0,3102-010
30000.0,3145-021
40000.0,3109-004
28000.0,3108-004
2333.33,4180-003
34500.0,3145-004
52000.0,3102-004
30000.0,3145-026
5750.0,3145-009
34500.0,3145-010
21666.66,3102-031
10000.0,3104-029
15000.0,3104-019
25083.31,3104-029
21500.0,3104-014
13125.0,3102-020
4375.0,3102-029
9000.0,3201-006
12000.0,3201-005
2000.0,3201-005
12500.0,3201-005
16000.0,3201-005
5333.33,3201-008
8700.0,3201-004
28625.04,2902-010
28625.04,2902-016
28625.04,2902-004
28625.04,3002-004
28625.04,3002-016
14314.8,3002-010
17622.15,3001-010
17622.38,3001-004
17622.38,3001-004
2385.8,2911-003
19550.0,3004-004
24140.0,3003-004
19550.0,3003-010
20700.0,3003-022
20700.0,3003-016
8000.0,3601-004
8000.0,3601-004
8000.0,3601-004
8000.0,3601-004
60480.0,1401-029
443520.0,1401-002
94500.0,1403-009
18900.0,1403-023
94500.0,1403-002
44100.0,1401-020
24000.0,3220-003
2666.0,4180-003
12000.0,3220-007
13450.76,3220-007
16000.0,3220-007
21000.0,1410-005
21000.0,1410-005
31000.0,1410-005
2718.0,1410-005
17436.0,1410-005
28872.0,1410-008
5436.0,1410-006
8718.0,1410-008
3750.0,4180-003
3750.0,3145-030
15000.0,3145-031
15000.0,3145-031
2160.0,3442-006
1220.0,3442-006
920.0,3442-006
3626.67,3442-006
3626.67,3442-006
2440.0,3442-006
2500.0,2508-007
1000.0,2494-003
1850.0,2494-007
1800.0,2494-071
5030.0,2594-003
17700.0,2394-041
25000.0,2494-043
38696.0,2494-051
2098.0,2494-015
14469.0,2494-003
25100.0,2494-007
28500.0,2394-041
1290.0,2494-019
15070.72,1301-004
2595.27,1301-005
14954.74,1301-006
2433.56,1301-007
22182.22,1401-003
3780.52,1401-006
10889.89,1401-007
22182.22,1401-012
3780.52,1401-015
7867.62,1401-016
22182.22,1401-021
3780.52,1401-024
18151.18,1401-025
22182.22,1401-030
3780.52,1401-031
31279.18,1401-032
22182.22,1401-037
3780.52,1401-038
9331.03,1401-039
3780.52,1401-051
11258.98,1401-053
25862.56,1401-076
3780.52,1401-077
5843.82,1401-078
22182.22,1403-010
18944.64,1403-012
18501.88,1403-017
19792.66,1403-019
3780.52,1403-031
7460.85,1403-031
7460.85,1403-031
3780.52,1403-031
13638.76,1403-033
1811.19,1406-004
10366.24,1406-005
14463.84,1406-006
21354.56,1410-009
4601.02,1410-010
11031.54,1410-011
11141.2,1410-022
4601.02,1410-023
1850.58,1410-024
181303.69,1499-001
2490.0,3498-003
1600.0,3480-003
7500.0,3480-003
4800.0,3480-003
3200.0,3480-003
2800.0,3716-003
2800.0,1621-004
7500.0,1641-004
1600.0,1641-004
21900.0,3498-003
27200.0,3498-003
21400.0,3902-003
2700.0,2485-004
77586.21,3412-035
20000.0,3412-055
125000.0,3412-075
25000.0,3412-131
46000.0,2010-014
24000.0,2011-007
20000.0,2011-015
75000.0,7002-003
11000.0,7001-007
46000.0,2010-012
24000.0,2011-005
20000.0,2011-013
11000.0,7001-005
11000.0,2011-021
35.9,2311-003
494.13,2494-031
123.15,2494-031
1032.52,2494-031
676.9,2285-003
223.28,2494-003
342.24,2494-003
290.0,2494-003
2768.1,2494-003
