ACCT,TIPO,BUDGET,COST TO DATE,REF,Etapa,VARIANCE
2203,Below the Line,151200,151200.0,Sub cuenta,,0.0
2206,Below the Line,490000,511630.0,Sub cuenta,,-21630.0
2213,Below the Line,163800,180400.0,Sub cuenta,,-16600.0
2285,Below the Line,35000,28823.179,Sub cuenta,,6176.821
2310,Below the Line,116550,129150.0,Sub cuenta,,-12600.0
2311,Below the Line,125000,112566.2,Sub cuenta,,12433.800000000003
2385,Below the Line,60000,91213.206,Sub cuenta,,-31213.206000000006
2390,Below the Line,66000,62840.0,Sub cuenta,,3160.0
2394,Below the Line,1000000,497019.69000000006,Sub cuenta,,502980.30999999994
2398,Below the Line,60000,58401.47,Sub cuenta,,1598.5299999999988
2401,Below the Line,788425,810743.33,Sub cuenta,,-22318.329999999958
2402,Below the Line,88200,75600.0,Sub cuenta,,12600.0
2403,Below the Line,358650,416746.66,Sub cuenta,,-58096.659999999974
2405,Below the Line,301020,507605.83,Sub cuenta,,-206585.83000000002
2485,Below the Line,144000,114287.72,Sub cuenta,,29712.28
2490,Below the Line,120000,114000.0,Sub cuenta,,6000.0
2494,Below the Line,3001630,2814999.5670000003,Sub cuenta,,186630.43299999973
2495,Below the Line,366100,274470.2,Sub cuenta,,91629.79999999999
2498,Below the Line,100000,125933.85,Sub cuenta,,-25933.850000000006
2501,Below the Line,360500,360500.0,Sub cuenta,,0.0
2502,Below the Line,111000,105800.0,Sub cuenta,,5200.0
2508,Below the Line,102500,67840.75,Sub cuenta,,34659.25
2585,Below the Line,85000,87729.117,Sub cuenta,,-2729.1169999999984
2594,Below the Line,310000,469634.524,Sub cuenta,,-159634.52399999998
2598,Below the Line,40000,6740.63,Sub cuenta,,33259.37
2601,Below the Line,61900,82878.25,Sub cuenta,,-20978.25
2602,Below the Line,660900,706353.75,Sub cuenta,,-45453.75
2621,Below the Line,63600,98000.0,Sub cuenta,,-34400.0
2623,Below the Line,303850,411050.0,Sub cuenta,,-107200.0
2693,Below the Line,25000,0.0,Sub cuenta,,25000.0
2701,Below the Line,382500,382500.0,Sub cuenta,,0.0
2703,Below the Line,160000,160000.0,Sub cuenta,,0.0
2705,Below the Line,252000,252000.0,Sub cuenta,,0.0
2706,Below the Line,120000,121500.0,Sub cuenta,,-1500.0
2707,Below the Line,229000,318640.0,Sub cuenta,,-89640.0
2709,Below the Line,10000,0.0,Sub cuenta,,10000.0
2794,Below the Line,1500000,1488476.147,Sub cuenta,,11523.852999999886
2795,Below the Line,299000,243950.0,Sub cuenta,,55050.0
2798,Below the Line,20000,0.0,Sub cuenta,,20000.0
2801,Below the Line,474900,488100.0,Sub cuenta,,-13200.0
2802,Below the Line,253400,253400.0,Sub cuenta,,0.0
2804,Below the Line,120000,120000.0,Sub cuenta,,0.0
2805,Below the Line,159900,149400.0,Sub cuenta,,10500.0
2808,Below the Line,120000,135637.142,Sub cuenta,,-15637.141999999993
2885,Below the Line,80000,12757.96,Sub cuenta,,67242.04000000001
2902,Below the Line,411636.75000000006,345940.0,Sub cuenta,,65696.75000000006
2911,Below the Line,60000,9543.2,Sub cuenta,,50456.8
2985,Below the Line,78750,7700.0,Sub cuenta,,71050.0
2998,Below the Line,80000,0.0,Sub cuenta,,80000.0
3001,Below the Line,211465.80999999997,179527.93,Sub cuenta,,31937.879999999976
3002,Below the Line,418795.64999999997,420036.00999999995,Sub cuenta,,-1240.359999999986
3003,Below the Line,468050.0,354754.98,Sub cuenta,,113295.02000000002
3004,Below the Line,117300.0,71683.32,Sub cuenta,,45616.67999999999
3085,Below the Line,235000,69141.37,Sub cuenta,,165858.63
3091,Below the Line,93750,75133.33,Sub cuenta,,18616.67
3098,Below the Line,80000,0.0,Sub cuenta,,80000.0
3101,Below the Line,989000,1003000.0,Sub cuenta,,-14000.0
3102,Below the Line,605208.29,637583.3099999999,Sub cuenta,,-32375.019999999902
3104,Below the Line,490916.62,467123.12,Sub cuenta,,23793.5
3108,Below the Line,126000,126000.0,Sub cuenta,,0.0
3109,Below the Line,174750,203333.0,Sub cuenta,,-28583.0
3110,Below the Line,125000,64700.0,Sub cuenta,,60300.0
3112,Below the Line,272000,272000.0,Sub cuenta,,0.0
3145,Below the Line,837000,835124.99,Sub cuenta,,1875.0100000000093
3185,Below the Line,120000,67265.44,Sub cuenta,,52734.56
3192,Below the Line,324000,134000.0,Sub cuenta,,190000.0
3193,Below the Line,7120297.12,7755208.34,Sub cuenta,,-634911.2199999997
3198,Below the Line,300000,30357.0,Sub cuenta,,269643.0
3201,Below the Line,483500,519733.33,Sub cuenta,,-36233.330000000016
3220,Below the Line,462500,746450.76,Sub cuenta,,-283950.76
3292,Below the Line,153000,158250.0,Sub cuenta,,-5250.0
3294,Below the Line,20000,13125.76,Sub cuenta,,6874.24
3298,Below the Line,20000,35017.56,Sub cuenta,,-15017.559999999998
3305,Below the Line,165500,408200.0,Sub cuenta,,-242700.0
3401,Below the Line,271779.74,356865.229,Sub cuenta,,-85085.489
3402,Below the Line,504000,490000.0,Sub cuenta,,14000.0
3403,Below the Line,768000,753740.0,Sub cuenta,,14260.0
3407,Below the Line,317300,313050.0,Sub cuenta,,4250.0
3408,Below the Line,100000,65000.0,Sub cuenta,,35000.0
3410,Below the Line,4701050,4892691.512,Sub cuenta,,-191641.5120000001
3412,Below the Line,6880105.37,4270057.826,Sub cuenta,,2610047.5439999998
3416,Below the Line,112000,115587.078,Sub cuenta,,-3587.077999999994
3442,Below the Line,807280,947905.22,Sub cuenta,,-140625.21999999997
3480,Below the Line,80000,72600.0,Sub cuenta,,7400.0
3485,Below the Line,60000,86372.75,Sub cuenta,,-26372.75
3498,Below the Line,400000,360170.23,Sub cuenta,,39829.77000000002
3583,Below the Line,281000,299000.0,Sub cuenta,,-18000.0
3601,Below the Line,128000,96000.0,Sub cuenta,,32000.0
3629,Below the Line,235000,110242.09999999999,Sub cuenta,,124757.90000000001
3632,Below the Line,1551403.12,1327324.359,Sub cuenta,,224078.76100000017
3633,Below the Line,170000,0.0,Sub cuenta,,170000.0
3683,Below the Line,5456700,6021743.4,Sub cuenta,,-565043.4000000004
3698,Below the Line,50000,174781.0,Sub cuenta,,-124781.0
3716,Below the Line,90000,16400.0,Sub cuenta,,73600.0
3793,Below the Line,720000,880000.0,Sub cuenta,,-160000.0
3807,Below the Line,438400,438400.0,Sub cuenta,,0.0
3813,Below the Line,197118.96,218577.97999999998,Sub cuenta,,-21459.01999999999
3894,Below the Line,111500,0.0,Sub cuenta,,111500.0
3901,Below the Line,210701,333307.941,Sub cuenta,,-122606.94099999999
3902,Below the Line,4360556.34,4515991.63,Sub cuenta,,-155435.29000000004
3903,Below the Line,1037943.5200000001,846901.5199999999,Sub cuenta,,191042.00000000023
3904,Below the Line,10000,14286.463,Sub cuenta,,-4286.463
3936,Below the Line,225160,127306.12,Sub cuenta,,97853.88
3999,Below the Line,120931.84999999999,46420.74,Sub cuenta,,74511.10999999999
4180,Below the Line,1451938.3,1461546.561,Sub cuenta,,-9608.26099999994
5001,Post,1355250,1359250.0,Sub cuenta,,-4000.0
5002,Post,435500,435500.0,Sub cuenta,,0.0
5009,Post,638000,671000.0,Sub cuenta,,-33000.0
5010,Post,319000,335500.0,Sub cuenta,,-16500.0
5011,Post,194200,194200.0,Sub cuenta,,0.0
5018,Post,96400,96400.0,Sub cuenta,,0.0
5022,Post,1738000,1738000.0,Sub cuenta,,0.0
5024,Post,115001.46,59204.93,Sub cuenta,,55796.530000000006
5101,Post,324000,324000.0,Sub cuenta,,0.0
5105,Post,1179000,1179000.0,Sub cuenta,,0.0
5109,Post,80000,80000.0,Sub cuenta,,0.0
5110,Post,216000,216000.0,Sub cuenta,,0.0
5113,Post,160000,160000.0,Sub cuenta,,0.0
5120,Post,200000,200000.0,Sub cuenta,,0.0
5197,Post,47500,0.0,Sub cuenta,,47500.0
5201,Post,612000,612000.0,Sub cuenta,,0.0
5202,Post,59000,59000.0,Sub cuenta,,0.0
5203,Post,126000,126000.0,Sub cuenta,,0.0
5207,Post,255000,255000.0,Sub cuenta,,0.0
5209,Post,57600,57600.0,Sub cuenta,,0.0
5221,Post,0,22570.0,Sub cuenta,,-22570.0
5222,Post,734000,734000.0,Sub cuenta,,0.0
5301,Post,80000,0.0,Sub cuenta,,80000.0
5402,Post,100000,35000.0,Sub cuenta,,65000.0
6001,Post,739200,739200.0,Sub cuenta,,0.0
6002,Post,294000,294000.0,Sub cuenta,,0.0
6004,Post,2800000,3258413.0100000002,Sub cuenta,,-458413.01000000024
6101,Post,368000,315984.47,Sub cuenta,,52015.53000000003
6102,Post,240000,96000.0,Sub cuenta,,144000.0
6103,Post,216000,0.0,Sub cuenta,,216000.0
6136,Post,1127850,727850.0,Sub cuenta,,400000.0
6137,Post,-849515.52,0.0,Sub cuenta,,-849515.52
6149,Post,350000,110400.0,Sub cuenta,,239600.0
7001,Others,149875,149875.0,Sub cuenta,,0.0
7002,Others,68000,339733.0,Sub cuenta,,-271733.0
7003,Others,11643573.8,10574177.83,Sub cuenta,,1069395.9700000007
7007,Others,464182,854182.0,Sub cuenta,,-390000.0
7008,Others,18700,15300.0,Sub cuenta,,3400.0
7038,Others,296000,82842.49799999999,Sub cuenta,,213157.502
7050,Others,273000,271026.01800000004,Sub cuenta,,1973.98199999996
7080,Others,8000,26339.51,Sub cuenta,,-18339.51
7094,Others,582177.37,582177.36,Sub cuenta,,0.010000000009313226
7201,Others,1324376,1332744.52,Sub cuenta,,-8368.520000000019
7216,Others,50000,4000.0,Sub cuenta,,46000.0
7217,Others,111300,0.0,Sub cuenta,,111300.0
7230,Others,0,35012.745,Sub cuenta,,-35012.745
1101-002,Above the Line,0,0.0,Detalle,,0.0
1101-004,Above the Line,0,0.0,Detalle,,0.0
1101-005,Above the Line,1400000,1400000.0,Detalle,DEVELOPMENT,0.0
1101-006,Above the Line,100000,100000.03,Detalle,DEVELOPMENT,-0.029999999998835847
1101-007,Above the Line,100000,100000.0,Detalle,DEVELOPMENT,0.0
1101-010,Above the Line,0,0.0,Detalle,,0.0
1101-011,Above the Line,1400000,1400000.0,Detalle,DEVELOPMENT,0.0
1101-012,Above the Line,75000,75000.0,Detalle,DEVELOPMENT,0.0
1101-015,Above the Line,0,0.0,Detalle,,0.0
1101-016,Above the Line,1400000,1400000.0,Detalle,DEVELOPMENT,0.0
1101-017,Above the Line,75000,75000.0,Detalle,DEVELOPMENT,0.0
1101-020,Above the Line,0,0.0,Detalle,,0.0
1101-021,Above the Line,1400000,1400000.0,Detalle,DEVELOPMENT,0.0
1101-022,Above the Line,75000,75000.0,Detalle,DEVELOPMENT,0.0
1101-025,Above the Line,0,0.0,Detalle,,0.0
1101-026,Above the Line,1400000,1399999.9899999998,Detalle,DEVELOPMENT,0.01000000024214387
1101-027,Above the Line,75000,75000.0,Detalle,DEVELOPMENT,0.0
1101-030,Above the Line,0,0.0,Detalle,,0.0
1101-032,Above the Line,0,0.0,Detalle,,0.0
1101-033,Above the Line,210000,210000.0,Detalle,DEVELOPMENT,0.0
1101-036,Above the Line,0,0.0,Detalle,,0.0
1101-037,Above the Line,210000,210000.0,Detalle,DEVELOPMENT,0.0
1101-040,Above the Line,0,0.0,Detalle,,0.0
1101-041,Above the Line,210000,210000.0,Detalle,DEVELOPMENT,0.0
1101-044,Above the Line,0,0.0,Detalle,,0.0
1101-045,Above the Line,105000,105000.0,Detalle,DEVELOPMENT,0.0
1101-046,Above the Line,105000,105000.0,Detalle,DEVELOPMENT,0.0
1104-002,Above the Line,0,0.0,Detalle,,0.0
1104-003,Above the Line,150000,150000.0,Detalle,DEVELOPMENT,0.0
1107-002,Above the Line,0,0.0,Detalle,,0.0
1107-004,Above the Line,0,0.0,Detalle,,0.0
1107-005,Above the Line,275000,275000.06,Detalle,DEVELOPMENT,-0.059999999997671694
1107-008,Above the Line,0,0.0,Detalle,,0.0
1107-009,Above the Line,275000,275000.0,Detalle,DEVELOPMENT,0.0
1107-012,Above the Line,0,0.0,Detalle,,0.0
1107-014,Above the Line,0,0.0,Detalle,,0.0
1107-015,Above the Line,275000,275000.0,Detalle,DEVELOPMENT,0.0
